rank,bgg_url,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,designer,weight
222,https://boardgamegeek.com/boardgame/66362/glen-more,66362,Glen More,2,5,70,45,70,2010,7.36094,7.14511,7091,//cf.geekdo-images.com/images/pic1013640.jpg,10,"Commodity Speculation, Dice Rolling, Grid Movement, Set Collection, Tile Placement, Time Track",7206,"City Building, Economic, Farming",Matthias Cramer,2.6724
223,https://boardgamegeek.com/boardgame/5404/amun-re,5404,Amun-Re,3,5,90,90,90,2003,7.36558,7.14296,7198,//cf.geekdo-images.com/images/pic2748305.jpg,12,"Area Control / Area Influence, Auction/Bidding",6997,"Ancient, Economic",Reiner Knizia,3.0717
224,https://boardgamegeek.com/boardgame/100901/flash-point-fire-rescue,100901,Flash Point: Fire Rescue,1,6,45,45,45,2011,7.27891,7.13966,13710,//cf.geekdo-images.com/images/pic1129370.jpg,10,"Action Point Allowance System, Co-operative Play, Dice Rolling, Grid Movement, Pick-up and Deliver, Simulation, Variable Player Powers",21181,Adventure,Kevin Lanzing,2.2058
225,https://boardgamegeek.com/boardgame/17226/descent-journeys-dark,17226,Descent: Journeys in the Dark,2,5,240,240,240,2005,7.34945,7.13869,10277,//cf.geekdo-images.com/images/pic249300.jpg,12,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers",12287,"Adventure, Exploration, Fantasy, Fighting, Miniatures",Kevin Wilson,3.3387
226,https://boardgamegeek.com/boardgame/133038/pathfinder-adventure-card-game-rise-runelords-base,133038,Pathfinder Adventure Card Game: Rise of the Runelords ? Base Set,1,4,90,90,90,2013,7.3587,7.1375,9559,//cf.geekdo-images.com/images/pic1775517.jpg,13,"Co-operative Play, Deck / Pool Building, Dice Rolling, Hand Management, Role Playing",14932,"Adventure, Card Game, Fantasy, Fighting","Mike Selinker, Chad Brown, Tanis O'Connor, Paul Peterson, Gaby Weidling",2.7088
227,https://boardgamegeek.com/boardgame/160477/onitama,160477,Onitama,2,2,30,10,30,2014,7.65359,7.1375,3291,//cf.geekdo-images.com/images/pic2904046.png,8,Grid Movement,5919,Abstract Strategy,Shimpei Sato,1.72
228,https://boardgamegeek.com/boardgame/139976/cthulhu-wars,139976,Cthulhu Wars,3,4,120,90,120,2015,8.03772,7.1342,2077,//cf.geekdo-images.com/images/pic3527761.jpg,14,"Action Point Allowance System, Area Movement, Dice Rolling, Variable Player Powers",2866,"Fantasy, Fighting, Horror, Miniatures",Sandy Petersen,3.1111
229,https://boardgamegeek.com/boardgame/98778/hanabi,98778,Hanabi,2,5,25,25,25,2010,7.21706,7.13168,23660,//cf.geekdo-images.com/images/pic2007286.jpg,8,"Co-operative Play, Hand Management, Memory, Set Collection",37918,"Card Game, Deduction, Memory",Antoine Bauza,1.6954
230,https://boardgamegeek.com/boardgame/150658/pandemic-cure,150658,Pandemic: The Cure,2,5,30,30,30,2014,7.41446,7.13051,5650,//cf.geekdo-images.com/images/pic2225998.jpg,8,"Co-operative Play, Dice Rolling, Hand Management, Point to Point Movement, Press Your Luck, Set Collection, Variable Player Powers",8922,"Dice, Environmental, Medical",Matt Leacock,2.0647
231,https://boardgamegeek.com/boardgame/13/catan,13,Catan,3,4,120,60,120,1995,7.26622,7.12543,67571,//cf.geekdo-images.com/images/pic2419375.jpg,10,"Dice Rolling, Hand Management, Modular Board, Route/Network Building, Trading",95246,Negotiation,Klaus Teuber,2.3603
232,https://boardgamegeek.com/boardgame/154809/nippon,154809,Nippon,2,4,120,60,120,2015,7.82819,7.12427,2154,//cf.geekdo-images.com/images/pic2683981.jpg,12,"Area Control / Area Influence, Variable Phase Order",2741,"Economic, Industry / Manufacturing","Nuno Bizarro Sentieiro, Paulo Soledade",3.7401
233,https://boardgamegeek.com/boardgame/155821/inis,155821,Inis,2,4,90,60,90,2016,7.83099,7.1226,2595,//cf.geekdo-images.com/images/pic3112623.jpg,14,"Area Control / Area Influence, Area Movement, Card Drafting, Deck / Pool Building, Hand Management, Memory, Tile Placement",4189,"Ancient, Card Game, Mythology",Christian Martinez,2.9706
234,https://boardgamegeek.com/boardgame/97786/small-world-underground,97786,Small World Underground,2,5,90,30,90,2011,7.37369,7.12243,7073,//cf.geekdo-images.com/images/pic979889.jpg,8,"Area Control / Area Influence, Area Movement, Dice Rolling, Variable Player Powers",11301,"Fantasy, Fighting, Territory Building",Philippe Keyaerts,2.5988
235,https://boardgamegeek.com/boardgame/169255/game-thrones-card-game-second-edition,169255,A Game of Thrones: The Card Game (Second Edition),2,4,120,60,120,2015,7.9316,7.12063,2220,//cf.geekdo-images.com/images/pic2783386.jpg,14,"Card Drafting, Hand Management, Simultaneous Action Selection, Variable Player Powers",4410,"Card Game, Collectible Components, Fantasy, Fighting, Medieval, Negotiation, Novel-based","Nate French, Eric M. Lang",3.439
236,https://boardgamegeek.com/boardgame/144592/bruxelles-1893,144592,Bruxelles 1893,2,5,125,50,125,2013,7.65229,7.12012,2855,//cf.geekdo-images.com/images/pic1726346.jpg,13,"Auction/Bidding, Card Drafting, Modular Board, Worker Placement",3342,Economic,Etienne Espreman,3.5805
237,https://boardgamegeek.com/boardgame/27162/kingsburg,27162,Kingsburg,2,5,90,90,90,2007,7.24128,7.12008,15198,//cf.geekdo-images.com/images/pic253057.jpg,13,"Dice Rolling, Worker Placement",14633,"City Building, Dice, Fantasy, Medieval","Andrea Chiarvesio, Luca Iennaco",2.4312
238,https://boardgamegeek.com/boardgame/11170/heroscape-master-set-rise-valkyrie,11170,Heroscape Master Set: Rise of the Valkyrie,2,4,90,90,90,2004,7.41673,7.1185,6928,//cf.geekdo-images.com/images/pic244662.jpg,8,"Dice Rolling, Grid Movement, Modular Board",10766,"Adventure, Fantasy, Fighting, Miniatures, Science Fiction","Stephen Baker, Rob Daviau, Craig Van Ness",2.2893
239,https://boardgamegeek.com/boardgame/58421/egizia,58421,Egizia,2,4,90,90,90,2009,7.45882,7.11628,4327,//cf.geekdo-images.com/images/pic586431.jpg,12,"Card Drafting, Time Track, Worker Placement",3572,"Ancient, Farming","Acchittocca, Flaminia Brasini, Virginio Gigli, Stefano Luperto, Antonio Tinto",2.8291
240,https://boardgamegeek.com/boardgame/172/sale,172,For Sale,3,6,20,20,20,1997,7.22152,7.11469,15529,//cf.geekdo-images.com/images/pic1513085.jpg,8,"Auction/Bidding, Hand Management",18112,"Card Game, Economic",Stefan Dorra,1.2864
241,https://boardgamegeek.com/boardgame/42052/vinhos,42052,Vinhos,2,4,135,60,135,2010,7.54377,7.11422,3594,//cf.geekdo-images.com/images/pic815592.jpg,12,"Area Control / Area Influence, Worker Placement",4084,"Economic, Industry / Manufacturing",Vital Lacerda,4.1985
242,https://boardgamegeek.com/boardgame/137408/amerigo,137408,Amerigo,2,4,90,90,90,2013,7.50908,7.11408,3888,//cf.geekdo-images.com/images/pic1824151.jpg,10,"Action Point Allowance System, Grid Movement, Modular Board, Tile Placement",5328,"Nautical, Renaissance",Stefan Feld,3
243,https://boardgamegeek.com/boardgame/116998/thunderstone-advance-towers-ruin,116998,Thunderstone Advance: Towers of Ruin,1,5,90,60,90,2012,7.50664,7.11177,4062,//cf.geekdo-images.com/images/pic1196537.jpg,12,"Card Drafting, Deck / Pool Building, Hand Management",6357,"Card Game, Fantasy","Edward Bolme, Mike Elliott, Mark Wootton",2.7401
244,https://boardgamegeek.com/boardgame/63888/innovation,63888,Innovation,2,4,60,45,60,2010,7.2613,7.10793,10872,//cf.geekdo-images.com/images/pic2966859.png,12,"Hand Management, Variable Phase Order",13913,"Card Game, Civilization",Carl Chudyk,2.7128
245,https://boardgamegeek.com/boardgame/36553/times-title-recall,36553,Time's Up! Title Recall!,4,18,60,60,60,2008,7.79182,7.10776,2165,//cf.geekdo-images.com/images/pic1937566.jpg,12,"Acting, Memory, Partnerships",3241,"Humor, Movies / TV / Radio theme, Party Game","Michael Adams, Peter Sarrett",1.1975
246,https://boardgamegeek.com/boardgame/3685/hammer-scots,3685,Hammer of the Scots,2,2,180,120,180,2002,7.56859,7.10522,3394,//cf.geekdo-images.com/images/pic623710.jpg,12,"Area Movement, Area-Impulse, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Secret Unit Deployment, Simultaneous Action Selection",4327,"Medieval, Wargame","Tom Dalgliesh, Jerry Taylor",2.9868
247,https://boardgamegeek.com/boardgame/105551/archipelago,105551,Archipelago,1,5,240,30,240,2012,7.42738,7.10224,5098,//cf.geekdo-images.com/images/pic1640388.jpg,14,"Area Control / Area Influence, Auction/Bidding, Commodity Speculation, Modular Board, Tile Placement, Trading, Worker Placement",7127,"Civilization, Economic, Exploration, Nautical, Negotiation, Renaissance",Christophe Boelinger,3.712
248,https://boardgamegeek.com/boardgame/62222/commands-colors-napoleonics,62222,Commands & Colors: Napoleonics,2,2,90,90,90,2010,7.96612,7.09256,1800,//cf.geekdo-images.com/images/pic837162.jpg,14,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Hex-and-Counter, Modular Board",3335,"Napoleonic, Wargame",Richard Borg,2.7177
249,https://boardgamegeek.com/boardgame/127398/legends-andor,127398,Legends of Andor,2,4,90,60,90,2012,7.32728,7.09065,7758,//cf.geekdo-images.com/images/pic2606106.jpg,10,"Area Movement, Co-operative Play, Dice Rolling, Variable Player Powers",13104,"Adventure, Fantasy, Fighting, Puzzle",Michael Menzel,2.7563
250,https://boardgamegeek.com/boardgame/475/taj-mahal,475,Taj Mahal,3,5,100,75,100,2000,7.33575,7.09045,6219,//cf.geekdo-images.com/images/pic178427.jpg,12,"Auction/Bidding, Card Drafting, Hand Management, Route/Network Building, Set Collection",6795,"Bluffing, Political",Reiner Knizia,3.0081
251,https://boardgamegeek.com/boardgame/90419/airlines-europe,90419,Airlines Europe,2,5,75,75,75,2011,7.37493,7.09007,5385,//cf.geekdo-images.com/images/pic975416.jpg,10,"Card Drafting, Route/Network Building, Set Collection, Stock Holding",6374,"Aviation / Flight, Economic",Alan R. Moon,2.4418
252,https://boardgamegeek.com/boardgame/138161/firefly-game,138161,Firefly: The Game,1,5,240,120,240,2013,7.4119,7.0875,6868,//cf.geekdo-images.com/images/pic1727008.png,13,"Area Movement, Card Drafting, Dice Rolling, Pick-up and Deliver, Take That, Trading, Variable Player Powers",12482,"Movies / TV / Radio theme, Science Fiction, Space Exploration, Travel","Aaron Dill, John Kovaleski, Sean Sweigart",2.947
253,https://boardgamegeek.com/boardgame/163967/tiny-epic-galaxies,163967,Tiny Epic Galaxies,1,5,30,30,30,2015,7.38691,7.08712,5789,//cf.geekdo-images.com/images/pic2349732.jpg,14,"Area Control / Area Influence, Dice Rolling, Variable Player Powers",10735,"Dice, Science Fiction, Space Exploration",Scott Almes,2.1412
254,https://boardgamegeek.com/boardgame/125618/libertalia,125618,Libertalia,2,6,45,45,45,2012,7.26951,7.0871,8842,//cf.geekdo-images.com/images/pic1326136.jpg,14,"Hand Management, Set Collection, Simultaneous Action Selection, Variable Phase Order",10740,"Card Game, Pirates",Paolo Mori,2.2319
255,https://boardgamegeek.com/boardgame/113924/zombicide,113924,Zombicide,1,6,180,45,180,2012,7.32853,7.08702,10953,//cf.geekdo-images.com/images/pic1196191.jpg,13,"Action Point Allowance System, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Player Elimination, Variable Player Powers",15840,"Horror, Miniatures, Zombies","Raphaël Guiton, Jean-Baptiste Lullien, Nicolas Raoult",2.587
256,https://boardgamegeek.com/boardgame/182631/star-realms-colony-wars,182631,Star Realms: Colony Wars,2,2,20,20,20,2015,7.96697,7.08694,1767,//cf.geekdo-images.com/images/pic2971899.jpg,12,Deck / Pool Building,5136,"Card Game, Science Fiction","Robert Dougherty, Darwin Kastle",2
257,https://boardgamegeek.com/boardgame/158899/colt-express,158899,Colt Express,2,6,40,30,40,2014,7.24307,7.0851,11822,//cf.geekdo-images.com/images/pic2869710.jpg,10,"Action / Movement Programming, Hand Management, Memory, Modular Board, Take That, Variable Player Powers",17069,"American West, Fighting, Trains",Christophe Raimbault,1.8114
258,https://boardgamegeek.com/boardgame/146791/shadows-brimstone-city-ancients,146791,Shadows of Brimstone: City of the Ancients,1,4,120,120,120,2014,8.05097,7.08308,2068,//cf.geekdo-images.com/images/pic2037825.jpg,12,"Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Role Playing, Variable Player Powers",4427,"Adventure, American West, Exploration, Fighting, Horror, Miniatures",Jason C. Hill,3.3681
259,https://boardgamegeek.com/boardgame/34219/biblios,34219,Biblios,2,4,30,30,30,2007,7.24954,7.08207,9870,//cf.geekdo-images.com/images/pic759154.jpg,10,"Auction/Bidding, Card Drafting, Hand Management, Memory, Press Your Luck, Set Collection",12696,"Card Game, Economic, Medieval, Religious",Steve Finn,1.6882
260,https://boardgamegeek.com/boardgame/128671/spartacus-game-blood-treachery,128671,Spartacus: A Game of Blood & Treachery,3,4,150,150,150,2012,7.47613,7.08029,4658,//cf.geekdo-images.com/images/pic1533071.jpg,17,"Auction/Bidding, Betting/Wagering, Dice Rolling, Grid Movement, Hand Management, Trading, Variable Player Powers",6050,"Ancient, Fighting, Movies / TV / Radio theme, Negotiation","Aaron Dill, John Kovaleski, Sean Sweigart",2.6817
261,https://boardgamegeek.com/boardgame/62227/labyrinth-war-terror-2001,62227,"Labyrinth: The War on Terror, 2001 ? ?",1,2,180,180,180,2010,7.58352,7.07841,3165,//cf.geekdo-images.com/images/pic859584.jpg,12,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Point to Point Movement, Variable Player Powers",6329,"Modern Warfare, Political, Religious, Wargame",Volko Ruhnke,3.5283
262,https://boardgamegeek.com/boardgame/172081/burgle-bros,172081,Burgle Bros.,1,4,90,90,90,2015,7.66704,7.0775,2661,//cf.geekdo-images.com/images/pic2439102.png,12,"Action Point Allowance System, Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",5433,"Exploration, Maze, Spies/Secret Agents",Tim Fowers,2.3009
263,https://boardgamegeek.com/boardgame/141572/paperback,141572,Paperback,2,5,45,45,45,2014,7.4091,7.0771,4571,//cf.geekdo-images.com/images/pic1991455.jpg,8,"Card Drafting, Co-operative Play, Deck / Pool Building",7866,"Card Game, Print & Play, Word Game",Tim Fowers,2.0058
264,https://boardgamegeek.com/boardgame/34119/tales-arabian-nights,34119,Tales of the Arabian Nights,1,6,120,120,120,2009,7.29018,7.07589,8614,//cf.geekdo-images.com/images/pic486114.jpg,12,"Dice Rolling, Point to Point Movement, Role Playing, Storytelling, Variable Player Powers",12534,"Adventure, Arabian, Book, Fantasy","Anthony J. Gallela, Eric Goldberg, Kevin Maroney, Zev Shlasinger",2.1723
265,https://boardgamegeek.com/boardgame/162082/deus,162082,Deus,2,4,90,60,90,2014,7.3987,7.07438,4638,//cf.geekdo-images.com/images/pic2219643.png,14,"Grid Movement, Hand Management, Modular Board, Route/Network Building",5370,"Civilization, Mythology",Sébastien Dujardin,2.8494
266,https://boardgamegeek.com/boardgame/6472/game-thrones-first-edition,6472,A Game of Thrones (first edition),3,5,180,180,180,2003,7.28947,7.07418,9327,//cf.geekdo-images.com/images/pic1222116.jpg,12,"Area Movement, Auction/Bidding, Hand Management, Memory, Player Elimination, Simultaneous Action Selection, Variable Player Powers",8885,"Bluffing, Fantasy, Negotiation, Novel-based, Political, Wargame","Christian T. Petersen, Kevin Wilson",3.4462
267,https://boardgamegeek.com/boardgame/171668/grizzled,171668,The Grizzled,2,5,30,30,30,2015,7.35509,7.07332,5646,//cf.geekdo-images.com/images/pic3184278.png,10,"Co-operative Play, Hand Management, Press Your Luck, Variable Player Powers",10055,"Card Game, World War I","Fabien Riffaud, Juan Rodriguez",1.9023
268,https://boardgamegeek.com/boardgame/27173/vikings,27173,Vikings,2,4,60,60,60,2007,7.29601,7.07307,6782,//cf.geekdo-images.com/images/pic1904581.jpg,10,"Auction/Bidding, Tile Placement",6467,"Economic, Medieval, Nautical, Territory Building",Michael Kiesling,2.5388
269,https://boardgamegeek.com/boardgame/163968/elysium,163968,Elysium,2,4,60,60,60,2015,7.37363,7.07205,5022,//cf.geekdo-images.com/images/pic2837103.png,14,"Card Drafting, Set Collection",7045,"Ancient, Card Game, Mythology","Matthew Dunstan, Brett J. Gilbert",2.7833
270,https://boardgamegeek.com/boardgame/9625/struggle-empires,9625,Struggle of Empires,2,7,240,180,240,2004,7.515,7.07065,3403,//cf.geekdo-images.com/images/pic1367165.jpg,13,"Area Control / Area Influence, Area Movement, Auction/Bidding, Dice Rolling",4113,"Age of Reason, Civilization, Fighting, Political, Territory Building",Martin Wallace,3.5996
271,https://boardgamegeek.com/boardgame/185343/anachrony,185343,Anachrony,1,4,120,60,120,2017,8.35177,7.06926,1298,//cf.geekdo-images.com/images/pic3499707.jpg,15,"Variable Player Powers, Worker Placement",3031,"Economic, Science Fiction","Richard Amann, Viktor Peter, Dávid Turczi",3.767
272,https://boardgamegeek.com/boardgame/39351/automobile,39351,Automobile,3,5,120,120,120,2009,7.37076,7.06919,4718,//cf.geekdo-images.com/images/pic744514.jpg,12,"Commodity Speculation, Variable Player Powers",4679,"Economic, Industry / Manufacturing",Martin Wallace,3.5175
273,https://boardgamegeek.com/boardgame/166384/spyfall,166384,Spyfall,3,8,15,15,15,2014,7.21662,7.06867,10256,//cf.geekdo-images.com/images/pic2453926.jpg,12,"Role Playing, Voting",15104,"Bluffing, Deduction, Humor, Party Game, Spies/Secret Agents",Alexandr Ushan,1.29
274,https://boardgamegeek.com/boardgame/3307/wallenstein-first-edition,3307,Wallenstein (first edition),3,5,150,150,150,2002,7.52763,7.06691,3281,//cf.geekdo-images.com/images/pic358092.jpg,12,"Action / Movement Programming, Action Point Allowance System, Area Control / Area Influence, Area Movement, Simultaneous Action Selection, Variable Phase Order",2641,"Economic, Renaissance, Territory Building",Dirk Henn,3.3133
275,https://boardgamegeek.com/boardgame/50/lost-cities,50,Lost Cities,2,2,30,30,30,1999,7.14749,7.06087,26661,//cf.geekdo-images.com/images/pic2606107.jpg,10,"Hand Management, Set Collection",34293,"Card Game, Exploration",Reiner Knizia,1.5157
276,https://boardgamegeek.com/boardgame/166669/san-juan-second-edition,166669,San Juan (second edition),2,4,60,45,60,2014,7.66569,7.06043,2446,//cf.geekdo-images.com/images/pic2305703.jpg,10,"Hand Management, Set Collection, Variable Phase Order",4235,"Card Game, City Building, Economic",Andreas Seyfarth,2.1099
277,https://boardgamegeek.com/boardgame/155703/evolution,155703,Evolution,2,6,70,50,70,2014,7.30004,7.06016,6997,//cf.geekdo-images.com/images/pic2558560.jpg,12,"Action Point Allowance System, Hand Management, Press Your Luck, Secret Unit Deployment, Simulation, Simultaneous Action Selection",10151,"Animals, Card Game, Educational, Environmental, Prehistoric, Print & Play","Dominic Crapuchettes, Dmitry Knorre, Sergey Machin",2.4582
278,https://boardgamegeek.com/boardgame/478/citadels,478,Citadels,2,8,60,20,60,2000,7.14778,7.05972,37565,//cf.geekdo-images.com/images/pic3239104.jpg,10,"Card Drafting, Set Collection, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",49460,"Bluffing, Card Game, City Building, Fantasy, Medieval",Bruno Faidutti,2.0616
279,https://boardgamegeek.com/boardgame/43570/friday,43570,Friday,1,1,25,25,25,2011,7.24947,7.05801,8851,//cf.geekdo-images.com/images/pic1513328.jpg,13,"Deck / Pool Building, Hand Management",15942,"Card Game, Fighting, Novel-based, Pirates",Friedemann Friese,2.1141
280,https://boardgamegeek.com/boardgame/39938/carson-city,39938,Carson City,2,5,90,90,90,2009,7.31247,7.05726,5709,//cf.geekdo-images.com/images/pic577030.jpg,12,"Area Control / Area Influence, Dice Rolling, Tile Placement, Worker Placement",5119,"American West, City Building, Economic",Xavier Georges,3.1834
281,https://boardgamegeek.com/boardgame/133848/euphoria-build-better-dystopia,133848,Euphoria: Build a Better Dystopia,2,6,60,60,60,2013,7.34662,7.05718,5698,//cf.geekdo-images.com/images/pic1615561.jpg,13,"Dice Rolling, Hand Management, Set Collection, Variable Player Powers, Worker Placement",7646,Science Fiction,"Jamey Stegmaier, Alan Stone",3.1077
282,https://boardgamegeek.com/boardgame/97842/last-will,97842,Last Will,2,5,75,45,75,2011,7.27048,7.0563,6729,//cf.geekdo-images.com/images/pic1109132.jpg,13,"Action Point Allowance System, Hand Management, Worker Placement",7769,"Card Game, Economic, Humor",Vladimír Suchý,2.683
283,https://boardgamegeek.com/boardgame/119506/freedom-underground-railroad,119506,Freedom: The Underground Railroad,1,4,120,60,120,2012,7.63791,7.05305,2463,//cf.geekdo-images.com/images/pic1478723.jpg,13,"Co-operative Play, Pick-up and Deliver, Point to Point Movement, Variable Player Powers",4069,"American Civil War, Economic, Educational, Political, Puzzle",Brian Mayer,2.9172
284,https://boardgamegeek.com/boardgame/128271/ginkgopolis,128271,Ginkgopolis,1,5,45,45,45,2012,7.43772,7.05221,3734,//cf.geekdo-images.com/images/pic1412371.jpg,13,"Area Control / Area Influence, Card Drafting, Simultaneous Action Selection, Tile Placement",3572,"City Building, Environmental, Science Fiction",Xavier Georges,2.9021
285,https://boardgamegeek.com/boardgame/1513/republic-rome,1513,The Republic of Rome,1,6,300,300,300,1990,7.54968,7.05221,3362,//cf.geekdo-images.com/images/pic487045.jpg,14,"Dice Rolling, Hand Management, Simulation, Variable Player Powers, Voting",5104,"Ancient, Negotiation, Political, Wargame","Richard Berthold, Don Greenwood, Robert Haines",4.2843
286,https://boardgamegeek.com/boardgame/140603/francis-drake,140603,Francis Drake,3,5,120,90,120,2013,7.51214,7.04866,3161,//cf.geekdo-images.com/images/pic1616979.jpg,14,"Dice Rolling, Press Your Luck, Secret Unit Deployment, Set Collection, Worker Placement",4277,"Bluffing, Exploration, Nautical, Pirates, Renaissance",Peter Hawes,2.9204
287,https://boardgamegeek.com/boardgame/150/pitchcar,150,PitchCar,2,8,30,30,30,1995,7.24949,7.04725,7557,//cf.geekdo-images.com/images/pic215555.jpg,6,Modular Board,7576,"Action / Dexterity, Children's Game, Party Game, Racing, Sports",Jean du Poël,1.1281
288,https://boardgamegeek.com/boardgame/9674/ingenious,9674,Ingenious,1,4,45,45,45,2004,7.17596,7.04628,12901,//cf.geekdo-images.com/images/pic1473656.jpg,10,"Hand Management, Partnerships, Pattern Building, Tile Placement",14321,Abstract Strategy,Reiner Knizia,1.9268
289,https://boardgamegeek.com/boardgame/188834/secret-hitler,188834,Secret Hitler,5,10,45,45,45,2016,7.6224,7.04482,3431,//cf.geekdo-images.com/images/pic2771488.png,13,"Partnerships, Player Elimination, Voting",5307,"Bluffing, Card Game, Deduction, Party Game, Political, Print & Play, World War II","Mike Boxleiter, Tommy Maranges, Max Temkin",1.6875
290,https://boardgamegeek.com/boardgame/15062/shadows-over-camelot,15062,Shadows over Camelot,3,7,80,60,80,2005,7.1576,7.04474,20200,//cf.geekdo-images.com/images/pic70547.jpg,10,"Co-operative Play, Hand Management, Partnerships, Player Elimination, Set Collection, Variable Player Powers",24022,"Adventure, Deduction, Fantasy, Medieval, Mythology","Bruno Cathala, Serge Laget",2.5638
291,https://boardgamegeek.com/boardgame/15363/nexus-ops,15363,Nexus Ops,2,4,90,90,90,2005,7.25814,7.04436,7568,//cf.geekdo-images.com/images/pic1134615.jpg,12,"Area Control / Area Influence, Dice Rolling, Hand Management, Modular Board",9903,"Exploration, Fighting, Science Fiction, Wargame","Charlie Catino, Steven Kimball",2.2282
292,https://boardgamegeek.com/boardgame/18/roborally,18,RoboRally,2,8,120,45,120,1994,7.15383,7.04388,19359,//cf.geekdo-images.com/images/pic1000553.jpg,12,"Action / Movement Programming, Grid Movement, Modular Board, Simultaneous Action Selection",22484,"Miniatures, Racing, Science Fiction",Richard Garfield,2.434
293,https://boardgamegeek.com/boardgame/95527/madeira,95527,Madeira,2,4,150,60,150,2013,7.65639,7.04053,2362,//cf.geekdo-images.com/images/pic1762708.jpg,12,"Area Control / Area Influence, Dice Rolling, Worker Placement",3723,"Dice, Economic, Farming, Nautical","Nuno Bizarro Sentieiro, Paulo Soledade",4.2417
294,https://boardgamegeek.com/boardgame/161614/stockpile,161614,Stockpile,2,5,45,45,45,2015,7.65516,7.03998,2513,//cf.geekdo-images.com/images/pic2537618.jpg,13,"Auction/Bidding, Card Drafting, Stock Holding, Variable Player Powers",3585,Economic,"Brett Sobol, Seth Van Orden",2.0755
295,https://boardgamegeek.com/boardgame/183562/star-wars-x-wing-miniatures-game-force-awakens-cor,183562,Star Wars: X-Wing Miniatures Game ? The Force Awakens Core Set,2,2,45,30,45,2015,8.16865,7.03949,1356,//cf.geekdo-images.com/images/pic2654558.png,14,"Action / Movement Programming, Dice Rolling, Variable Player Powers",4780,"Aviation / Flight, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame","Alex Davy, James Kniffen, Corey Konieczka, Jason Little, Brady Sadler, Adam Sadler",2.8
296,https://boardgamegeek.com/boardgame/181521/warhammer-quest-adventure-card-game,181521,Warhammer Quest: The Adventure Card Game,1,4,60,30,60,2015,7.62265,7.03888,2944,//cf.geekdo-images.com/images/pic2625794.jpg,14,"Co-operative Play, Dice Rolling, Role Playing, Variable Player Powers",6297,"Adventure, Card Game, Fantasy","Justin Kemppainen, Brady Sadler, Adam Sadler",2.7194
297,https://boardgamegeek.com/boardgame/121288/dixit-journey,121288,Dixit: Journey,3,6,30,30,30,2012,7.49656,7.03568,3382,//cf.geekdo-images.com/images/pic1387599.jpg,8,"Acting, Simultaneous Action Selection, Singing, Storytelling, Voting",6298,"Card Game, Humor, Party Game",Jean-Louis Roubira,1.3167
298,https://boardgamegeek.com/boardgame/159508/aquasphere,159508,AquaSphere,2,4,100,100,100,2014,7.39035,7.03403,4167,//cf.geekdo-images.com/images/pic2197124.jpg,12,"Area Control / Area Influence, Area Movement, Modular Board",7211,"Nautical, Science Fiction",Stefan Feld,3.6718
299,https://boardgamegeek.com/boardgame/133473/sushi-go,133473,Sushi Go!,2,5,15,15,15,2013,7.14933,7.03294,17431,//cf.geekdo-images.com/images/pic1900075.jpg,8,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection",30062,Card Game,Phil Walker-Harding,1.1687
300,https://boardgamegeek.com/boardgame/134726/smash-awesome-level-9000,134726,Smash Up: Awesome Level 9000,2,2,45,45,45,2013,7.38057,7.03254,5000,//cf.geekdo-images.com/images/pic1497102.jpg,12,"Area Control / Area Influence, Hand Management, Take That, Variable Player Powers",13208,"Card Game, Fantasy, Horror, Humor, Pirates, Prehistoric, Science Fiction, Spies/Secret Agents",Paul Peterson,2.1288
301,https://boardgamegeek.com/boardgame/42776/gears-war-board-game,42776,Gears of War: The Board Game,1,4,180,60,180,2011,7.49364,7.03241,3759,//cf.geekdo-images.com/images/pic1004112.jpg,13,"Area Movement, Campaign / Battle Card Driven, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Variable Player Powers",6152,"Fighting, Miniatures, Science Fiction, Video Game Theme",Corey Konieczka,2.8771
302,https://boardgamegeek.com/boardgame/155987/abyss,155987,Abyss,2,4,60,30,60,2014,7.33173,7.03228,5253,//cf.geekdo-images.com/images/pic1965255.jpg,14,"Auction/Bidding, Card Drafting, Hand Management, Press Your Luck, Set Collection",6490,"Card Game, Mythology, Science Fiction","Bruno Cathala, Charles Chevallier",2.3588
303,https://boardgamegeek.com/boardgame/50750/belfort,50750,Belfort,2,5,120,120,120,2011,7.33091,7.03169,4956,//cf.geekdo-images.com/images/pic1368514.jpg,12,"Area Control / Area Influence, Card Drafting, Hand Management, Worker Placement",5876,"City Building, Economic, Fantasy","Jay Cormier, Sen-Foong Lim",3.0431
